fecha,entidad,hospitalizados,camas_intubados
2020-12-21,Estado de México,2030,375
2020-12-22,Ciudad de México,5448,1410
2020-12-22,Estado de México,2084,404
2020-12-23,Ciudad de México,5463,1437
2020-12-23,Estado de México,2131,404
2020-12-25,Ciudad de México,5436,1493
2020-12-25,Estado de México,2142,411
2020-12-26,Ciudad de México,5584,1505
2020-12-26,Estado de México,2219,454
2020-12-27,Ciudad de México,5710,1560
2020-12-27,Estado de México,2266,459
2020-12-29,Ciudad de México,5793,1538
2020-12-29,Estado de México,2309,474
2021-01-02,Ciudad de México,6044,1649
2021-01-02,Estado de México,2355,484
